地域,マッチアップ,,年,月,日,シーズン,マップ,勝敗,方法,勝ち側,配信リンク,配信内時間,備考,エラー
APAC,RISQ,RN,2022,11,29,,Desert Sands,RN,殲滅,南,https://youtu.be/u4wta3StP7U?t=9618,2:40:18,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,30,,Desert Sands,RISQ,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=1507,25:07:00,Blitz Ultimate Cup 2022. APAC Lower FINAL,
APAC,RISQ,RN,2022,11,29,,Desert Sands,RN,殲滅,北,https://youtu.be/KGGJ1TPFsJI?t=10573,2:56:13,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,RN,2022,11,29,,Desert Sands,RN,殲滅,南,https://youtu.be/KGGJ1TPFsJI?t=10870,3:01:10,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
NA,JOKERS,ORIGIN,2022,11,28,,Dynasty’s Pearl,JOKERS,殲滅,北,https://youtu.be/lLC-k_m56NE?t=7088,1:58:07,Blitz Ultimate Cup 2022. NA  FINAL,
NA,PONDA,ORIGIN,2022,11,28,,Dynasty’s Pearl,ORIGIN,殲滅,南,https://youtu.be/lLC-k_m56NE?t=2697,44:57:00,Blitz Ultimate Cup 2022. NA Lower FINAL,
APAC,RISQ,RN,2022,11,30,,Dynasty’s Pearl,RISQ,ポイント,北,https://youtu.be/pM85HDZjoQ8?t=6261,1:44:21,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,RISQ,RN,2022,11,30,,Faust,RISQ,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=6771,1:52:51,Blitz Ultimate Cup 2022. APAC FINAL,
NA,JOKERS,ORIGIN,2022,11,28,,Fort Despair,JOKERS,ポイント,北,https://youtu.be/lLC-k_m56NE?t=6093,1:41:33,Blitz Ultimate Cup 2022. NA  FINAL,
NA,PONDA,ORIGIN,2022,11,28,,Fort Despair,PONDA,殲滅,南,https://youtu.be/lLC-k_m56NE?t=2011,33:31:00,Blitz Ultimate Cup 2022. NA Lower FINAL,
APAC,RISQ,RN,2022,11,30,,Fort Despair,RISQ,ポイント,北,https://youtu.be/pM85HDZjoQ8?t=8162,2:16:02,Blitz Ultimate Cup 2022. APAC FINAL,
EU,赤BPS,PINK,2022,11,22,,Fort Despair,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g?t=1840,30:40:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,PINK,2022,11,22,,Fort Despair,赤BPS,殲滅,南,https://youtu.be/YVfCwRAyG5g?t=2174,36:14:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
APAC,ID,RN,2022,11,29,,Mayan Ruins,ID,ポイント,北,https://youtu.be/KGGJ1TPFsJI?t=2204,36:44:00,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,ID,RN,2022,11,29,,Mayan Ruins,ID,殲滅,南,https://youtu.be/KGGJ1TPFsJI?t=2545,42:25:00,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,P1,2022,11,29,,Mayan Ruins,RISQ,ポイント,南,https://youtu.be/u4wta3StP7U?t=913,15:13,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,29,,Mayan Ruins,P1,殲滅,南,https://youtu.be/u4wta3StP7U?t=1383,23:03:00,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,30,,Mayan Ruins,RISQ,殲滅,南,https://youtu.be/pM85HDZjoQ8?t=2830,47:10:00,Blitz Ultimate Cup 2022. APAC Lower FINAL,
NA,JOKERS,ORIGIN,2022,11,28,,MiddleburGGGG,JOKERS,ポイント,北,https://youtu.be/lLC-k_m56NE?t=7380,2:03:00,Blitz Ultimate Cup 2022. NA  FINAL,
NA,PONDA,ORIGIN,2022,11,28,,MiddleburGGGG,ORIGIN,ポイント,北,https://youtu.be/lLC-k_m56NE?t=3059,51:00:00,Blitz Ultimate Cup 2022. NA Lower FINAL,
APAC,RISQ,RN,2022,11,30,,MiddleburGGGG,RN,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=7243,2:00:43,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,RISQ,RN,2022,11,29,,molendijk,RN,殲滅,南,https://youtu.be/KGGJ1TPFsJI?t=11496,3:11:36,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,RN,2022,11,29,,molendijk,RN,殲滅,北,https://youtu.be/KGGJ1TPFsJI?t=11217,3:06:57,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
EU,JOKES,赤BPS,2022,11,22,,molendijk,赤BPS,殲滅,南,https://youtu.be/YVfCwRAyG5g?t=5508,1:31:48,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,JOKES,赤BPS,2022,11,22,,molendijk,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g?t=5832,1:37:12,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
APAC,ID,P1,2022,11,29,,Naval Frontier,P1,殲滅,南,https://youtu.be/u4wta3StP7U?t=5920,1:38:42,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,ID,P1,2022,11,29,,Naval Frontier,ID,ポイント,南,https://youtu.be/u4wta3StP7U?t=6250,1:44:12,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,30,,Naval Frontier,RISQ,殲滅,北,https://youtu.be/pM85HDZjoQ8?t=1116,18:36,Blitz Ultimate Cup 2022. APAC Lower FINAL,
APAC,RISQ,RN,2022,11,30,,Naval Frontier,RN,ポイント,北,https://youtu.be/pM85HDZjoQ8?t=8724,2:25:24,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,ID,P1,2022,11,29,,Naval Frontier,P1,殲滅,南,https://youtu.be/KGGJ1TPFsJI?t=7173,1:59:33,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,ID,P1,2022,11,29,,Naval Frontier,ID,ポイント,南,https://youtu.be/KGGJ1TPFsJI?t=7506,2:05:06,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
NA,PONDA,ORIGIN,2022,11,28,,New Bay,ORIGIN,殲滅,北,https://youtu.be/lLC-k_m56NE?t=1711,28:31:00,Blitz Ultimate Cup 2022. NA Lower FINAL,
NA,JOKERS,ORIGIN,2022,11,28,,Normandy,ORIGIN,ポイント,北,https://youtu.be/lLC-k_m56NE?t=5525,1:32:05,Blitz Ultimate Cup 2022. NA  FINAL,
APAC,ID,P1,2022,11,29,,Normandy,P1,ポイント,南,https://youtu.be/u4wta3StP7U?t=6737,1:52:17,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,30,,Normandy,P1,殲滅,南,https://youtu.be/pM85HDZjoQ8?t=2363,39:23:00,Blitz Ultimate Cup 2022. APAC Lower FINAL,
APAC,RISQ,RN,2022,11,30,,Normandy,RISQ,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=9190,2:33:10,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,ID,P1,2022,11,29,,Normandy,P1,ポイント,南,https://youtu.be/KGGJ1TPFsJI?t=7988,2:13:08,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,P1,2022,11,30,,Port Bay,P1,ポイント,南,https://youtu.be/pM85HDZjoQ8?t=1935,32:15:00,Blitz Ultimate Cup 2022. APAC Lower FINAL,
APAC,ID,RN,2022,11,29,,Rockfield,RN,殲滅,北,https://youtu.be/KGGJ1TPFsJI?t=4489,1:14:49,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
EU,赤BPS,PINK,2022,11,22,,Rockfield,PINK,ポイント,北,https://youtu.be/YVfCwRAyG5g?t=2448,40:48:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,PINK,2022,11,22,,Rockfield,PINK,ポイント,南,https://youtu.be/YVfCwRAyG5g?t=2803,46:43:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
APAC,RISQ,RN,2022,11,30,,Winter Malinovka,RISQ,殲滅,南,https://youtu.be/pM85HDZjoQ8?t=7736,2:08:56,Blitz Ultimate Cup 2022. APAC FINAL,
APAC,ID,RN,2022,11,29,,Yukon,RN,殲滅,南,https://youtu.be/KGGJ1TPFsJI?t=3752,1:02:32,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,ID,RN,2022,11,29,,Yukon,RN,ポイント,北,https://youtu.be/KGGJ1TPFsJI?t=4087,1:08:07,"World of Tanks Blitz: Autumn Season 2022, Blitz Ultimate Cup 1st day",
APAC,RISQ,P1,2022,11,29,,Yukon,P1,殲滅,北,https://youtu.be/u4wta3StP7U?t=2433,40:33:00,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
APAC,RISQ,P1,2022,11,29,,Yukon,RISQ,ポイント,南,https://youtu.be/u4wta3StP7U?t=2777,46:17:00,BLITZ ULTIMATE CUP | Autumn Season 22 (1/2),
EU,赤BPS,黒BPS,2022,11,22,,Castilla,黒BPS,殲滅,南,https://youtu.be/YVfCwRAyG5g,2:25:22,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,Castilla,赤BPS,殲滅,南,https://youtu.be/YVfCwRAyG5g,2:32:02,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,Normandy,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g,2:38:55,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,Normandy,黒BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g,2:43:25,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,Dynasty’s Pearl,黒BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g,2:48:35,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,Dynasty’s Pearl,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g,2:54:50,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
EU,赤BPS,黒BPS,2022,11,22,,MiddleburGGGG,赤BPS,殲滅,北,https://youtu.be/YVfCwRAyG5g,2:59:30,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14",
APAC,GV,RISQ,2022,11,21,,Yukon,GV,殲滅,北,https://youtu.be/HgckDqcqVYM,13:31,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14 (APAC)",
APAC,GV,RISQ,2022,11,21,,Yukon,GV,殲滅,南,https://youtu.be/HgckDqcqVYM,18:42,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14 (APAC)",
APAC,GV,RISQ,2022,11,21,,Fort Despair,RISQ,殲滅,北,https://youtu.be/HgckDqcqVYM,23:16,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,RISQ,2022,11,21,,Fort Despair,GV,殲滅,北,https://youtu.be/HgckDqcqVYM,29:05:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,RISQ,2022,11,21,,Rockfield,RISQ,ポイント,南,https://youtu.be/HgckDqcqVYM,34:25:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,RISQ,2022,11,21,,Rockfield,RISQ,ポイント,北,https://youtu.be/HgckDqcqVYM,40:05:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,RISQ,2022,11,21,,Mayan Ruins,GV,殲滅,南,https://youtu.be/HgckDqcqVYM,46:45:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,Alpen,GRS,殲滅,南,https://youtu.be/HgckDqcqVYM,1:17:35,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,Alpen,RISQ,ポイント,南,https://youtu.be/HgckDqcqVYM,1:24:10,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,molendijk,RISQ,ポイント,北,https://youtu.be/HgckDqcqVYM,1:30:40,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,molendijk,GRS,殲滅,北,https://youtu.be/HgckDqcqVYM,1:38:30,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,Naval Frontier,RISQ,殲滅,北,https://youtu.be/HgckDqcqVYM,1:43:48,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,RISQ,GRS,2022,11,21,,Naval Frontier,RISQ,ポイント,南,https://youtu.be/HgckDqcqVYM,1:50:31,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,GRS,2022,11,21,,Castilla,GV,ポイント,北,https://youtu.be/HgckDqcqVYM,2:21:40,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,GRS,2022,11,21,,Castilla,GRS,殲滅,北,https://youtu.be/HgckDqcqVYM,2:31:09,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,GRS,2022,11,21,,Normandy,GV,殲滅,北,https://youtu.be/HgckDqcqVYM,2:37:30,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,GRS,2022,11,21,,Normandy,GV,殲滅,南,https://youtu.be/HgckDqcqVYM,2:42:55,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
APAC,GV,GRS,2022,11,21,,Dynasty’s Pearl,GV,ポイント,南,https://youtu.be/HgckDqcqVYM,2:47:22,"World of Tanks Blitz: Autumn Season 2022, Professionals R12-14(APAC)",
EU,黒BPS,APA,2022,11,21,,Port Bay,黒BPS,殲滅,北,https://youtu.be/5_XqPHlQSzM,17:35,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,黒BPS,APA,2022,11,21,,Port Bay,黒BPS,殲滅,南,https://youtu.be/5_XqPHlQSzM,23:20,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,黒BPS,APA,2022,11,21,,Faust,APA,殲滅,南,https://youtu.be/5_XqPHlQSzM,29:00:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,黒BPS,APA,2022,11,21,,Faust,APA,殲滅,北,https://youtu.be/5_XqPHlQSzM,36:00:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,黒BPS,APA,2022,11,21,,Vineyards,APA,殲滅,北,https://youtu.be/5_XqPHlQSzM,42:05:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,黒BPS,APA,2022,11,21,,Vineyards,APA,殲滅,南,https://youtu.be/5_XqPHlQSzM,47:40:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,Yukon,APA,殲滅,南,https://youtu.be/5_XqPHlQSzM,1:21:25,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,Yukon,IKPA,殲滅,南,https://youtu.be/5_XqPHlQSzM,1:26:25,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,BGV,IKPA,殲滅,北,https://youtu.be/5_XqPHlQSzM,1:32:41,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,BGV,IKPA,ポイント,南,https://youtu.be/5_XqPHlQSzM,1:39:55,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,Dynasty’s Pearl,APA,殲滅,北,https://youtu.be/5_XqPHlQSzM,1:48:53,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,IKPA,APA,2022,11,21,,Dynasty’s Pearl,IKPA,殲滅,北,https://youtu.be/5_XqPHlQSzM,1:54:00,"World of Tanks Blitz: Autumn Season 2022, Professionals R10-11 (EU)",
EU,SNTY,KOBNI,2022,12,4,,Dynasty’s Pearl,SNTY,殲滅,南,https://youtu.be/XHKWy5qSDEM,0:24:09,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,Castilla,KOBNI,殲滅,南,https://youtu.be/XHKWy5qSDEM,0:31:45,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,Normandy,SNTY,ポイント,北,https://youtu.be/XHKWy5qSDEM,0:41:06,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,Fort Despair,SNTY,殲滅,北,https://youtu.be/XHKWy5qSDEM,0:52:08,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,New Bay,KOBNI,ポイント,北,https://youtu.be/XHKWy5qSDEM,0:58:37,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,Alpen,KOBNI,殲滅,南,https://youtu.be/XHKWy5qSDEM,1:05:16,Blitz Ultimate Cup 2022. EU FINALS,
EU,SNTY,KOBNI,2022,12,4,,Naval Frontier,KOBNI,ポイント,南,https://youtu.be/XHKWy5qSDEM,1:11:03,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Rockfield,APA,ポイント,北,https://youtu.be/XHKWy5qSDEM,1:40:07,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,molendijk,KOBNI,ポイント,北,https://youtu.be/XHKWy5qSDEM,1:49:05,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Vineyards,APA,殲滅,南,https://youtu.be/XHKWy5qSDEM,1:57:59,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Faust,APA,殲滅,南,https://youtu.be/XHKWy5qSDEM,2:04:47,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Canal,KOBNI,殲滅,南,https://youtu.be/XHKWy5qSDEM,2:12:26,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Mayan Ruins,APA,殲滅,北,https://youtu.be/XHKWy5qSDEM,2:20:09,Blitz Ultimate Cup 2022. EU FINALS,
EU,APA,KOBNI,2022,12,4,,Oasis,APA,殲滅,南,https://youtu.be/XHKWy5qSDEM,2:27:03,Blitz Ultimate Cup 2022. EU FINALS,
APAC,RIRY,GRS,2022,11,22,,Canal,RIRY,ポイント,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:01:53,APAC专业联赛解说第六天,
APAC,RIRY,GRS,2022,11,22,,Canal,GRS,ポイント,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:08:38,APAC专业联赛解说第六天,
APAC,RIRY,GRS,2022,11,22,,Fort Despair,RIRY,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:15:55,APAC专业联赛解说第六天,
APAC,RIRY,GRS,2022,11,22,,Fort Despair,GRS,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:20:55,APAC专业联赛解说第六天,
APAC,RIRY,GRS,2022,11,22,,Rockfield,GRS,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:28:47,APAC专业联赛解说第六天,
APAC,RIRY,GRS,2022,11,22,,Rockfield,GRS,ポイント,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,0:34:12,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,Alpen,P1,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:06:06,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,Alpen,P1,殲滅,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:11:55,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,molendijk,GV,ポイント,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:18:17,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,molendijk,GV,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:25:35,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,Naval Frontier,GV,ポイント,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:31:16,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,Naval Frontier,P1,殲滅,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:38:37,APAC专业联赛解说第六天,
APAC,GV,P1,2022,11,22,,BGV,P1,ポイント,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,1:44:25,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Castilla,ID,殲滅,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:09:53,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Castilla,ID,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:17:32,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Normandy,RIRY,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:24:16,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Normandy,ID,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:29:34,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Dynasty’s Pearl,RIRY,殲滅,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:35:15,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,Dynasty’s Pearl,RIRY,殲滅,南,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:40:12,APAC专业联赛解说第六天,
APAC,ID,RIRY,2022,11,22,,MiddleburGGGG,ID,殲滅,北,https://www.bilibili.com/video/BV1Jv4y127Px/?share_source=copy_web&t=16,2:44:57,APAC专业联赛解说第六天,
APAC,RISQ,RN,2022,11,21,,Port Bay,RISQ,ポイント,南,https://www.bilibili.com/video/BV1bR4y1f77m/?share_source=copy_web&t=299,0:04,APAC专业联赛解说第五天,
APAC,RISQ,RN,2022,11,21,,Port Bay,RISQ,ポイント,北,https://www.bilibili.com/video/BV1bR4y1f77m/?share_source=copy_web&t=803,0:13,APAC专业联赛解说第五天,
APAC,RISQ,RN,2022,11,21,,Faust,RN,殲滅,南,https://www.bilibili.com/video/BV1bR4y1f77m/?share_source=copy_web&t=1164,0:19,APAC专业联赛解说第五天,
APAC,RISQ,RN,2022,11,21,,Faust,RISQ,殲滅,南,https://www.bilibili.com/video/BV1bR4y1f77m/?share_source=copy_web&t=1456,0:24:16,APAC专业联赛解说第五天,
APAC,RISQ,RN,2022,11,21,,Vineyards,RISQ,ポイント,南,https://www.bilibili.com/video/BV1bR4y1f77m/?share_source=copy_web&t=1810,0:30:10,APAC专业联赛解说第五天,
